"OldName","NewName","Status","Note"
"IMG_3628.JPEG","aidan-miller__philadelphia-phillies__bd-180__front.jpg","RENAMED",""
"IMG_3629.JPEG","aidan-miller__philadelphia-phillies__bd-180__back.jpg","RENAMED",""
"IMG_3630.JPEG","dakota-jordan__san-francisco-giants__bd-139__front.jpg","RENAMED",""
"IMG_3634.JPEG","alfredo-duno__cincinnati-reds__bd-133__front.jpg","RENAMED",""
"IMG_3635.JPEG","alfredo-duno__cincinnati-reds__bd-133__back.jpg","RENAMED",""
"IMG_3636.JPEG","shotaro-morii__athletics__bd-174__front.jpg","RENAMED",""
"IMG_3637.JPEG","shotaro-morii__athletics__bd-174__back.jpg","RENAMED",""
"IMG_3638.JPEG","sean-youngerman__philadelphia-phillies__bd-104__front.jpg","RENAMED",""
"IMG_3639.JPEG","sean-youngerman__philadelphia-phillies__bd-104__back.jpg","RENAMED",""
"IMG_3640.JPEG","thomas-white__miami-marlins__bd-26__front.jpg","RENAMED",""
"IMG_3641.JPEG","thomas-white__miami-marlins__bd-26__back.jpg","RENAMED",""
"IMG_3642.JPEG","kade-anderson__seattle-mariners__bd-3__front.jpg","RENAMED",""
"IMG_3643.JPEG","kade-anderson__seattle-mariners__bd-3__back.jpg","RENAMED",""
"IMG_3644.JPEG","cody-miller__atlanta-braves__bd-91__front.jpg","RENAMED",""
"IMG_3645.JPEG","cody-miller__atlanta-braves__bd-91__back.jpg","RENAMED",""
"IMG_3646.JPEG","cade-obermueller__philadelphia-phillies__bd-80__front.jpg","RENAMED",""
"IMG_3647.JPEG","cade-obermueller__philadelphia-phillies__bd-80__back.jpg","RENAMED",""
"IMG_3648.JPEG","mason-neville__cincinnati-reds__bd-109__front.jpg","RENAMED",""
"IMG_3649.JPEG","mason-neville__cincinnati-reds__bd-109__back.jpg","RENAMED",""
"IMG_3650.JPEG","landyn-vidourek__los-angeles-dodgers__bd-158__front.jpg","RENAMED",""
"IMG_3651.JPEG","landyn-vidourek__los-angeles-dodgers__bd-158__back.jpg","RENAMED",""
"IMG_3652.JPEG","j-d-thompson__milwaukee-brewers__bd-14__front.jpg","RENAMED",""
"IMG_3653.JPEG","j-d-thompson__milwaukee-brewers__bd-14__back.jpg","RENAMED",""
"IMG_3654.JPEG","ryan-wideman__san-diego-padres__bd-190__front.jpg","RENAMED",""
"IMG_3655.JPEG","ryan-wideman__san-diego-padres__bd-190__back.jpg","RENAMED",""
"IMG_3656.JPEG","jb-middleton__colorado-rockies__bd-78__front.jpg","RENAMED",""
"IMG_3657.JPEG","jb-middleton__colorado-rockies__bd-78__back.jpg","RENAMED",""
"IMG_3658.JPEG","riley-quick__minnesota-twins__bd-23__front.jpg","RENAMED",""
"IMG_3659.JPEG","riley-quick__minnesota-twins__bd-23__back.jpg","RENAMED",""
"IMG_3660.JPEG","unknown-player__front.jpg","RENAMED",""
"IMG_3661.JPEG","pico-kohn__new-york-yankees__bd-52__front.jpg","RENAMED",""
"IMG_3662.JPEG","pico-kohn__new-york-yankees__bd-52__back.jpg","RENAMED",""
"IMG_3663.JPEG","jordan-yost__detroit-tigers__bd-162__front.jpg","RENAMED",""
"IMG_3664.JPEG","jordan-yost__detroit-tigers__bd-162__back.jpg","RENAMED",""
"IMG_3665.JPEG","kaleb-wing__chicago-cubs__bd-131__front.jpg","RENAMED",""
"IMG_3666.JPEG","kaleb-wing__chicago-cubs__bd-131__back.jpg","RENAMED",""
"IMG_3667.JPEG","tommy-white__athletics__bd-88__front.jpg","RENAMED",""
"IMG_3668.JPEG","tommy-white__athletics__bd-88__back.jpg","RENAMED",""
"IMG_3669.JPEG","kaelen-culpepper__minnesota-twins__bd-120__front.jpg","RENAMED",""
"IMG_3670.JPEG","kaelen-culpepper__minnesota-twins__bd-120__back.jpg","RENAMED",""
"IMG_3673.JPEG","josh-hammond__kansas-city-royals__bd-185__front.jpg","RENAMED",""
"IMG_3674.JPEG","josh-hammond__kansas-city-royals__bd-185__back.jpg","RENAMED",""
"IMG_3675.JPEG","grant-richardson__athletics__bd-171__front.jpg","RENAMED",""
"IMG_3676.JPEG","grant-richardson__athletics__bd-171__back.jpg","RENAMED",""
"IMG_3677.JPEG","cooper-flemming__tampa-bay-rays__bd-166__front.jpg","RENAMED",""
"IMG_3678.JPEG","cooper-flemming__tampa-bay-rays__bd-166__back.jpg","RENAMED",""
"IMG_3679.JPEG","sadaharu-oh__yomiuri-giants__bd-201__front.jpg","RENAMED",""
"IMG_3680.JPEG","sadaharu-oh__yomiuri-giants__bd-201__back.jpg","RENAMED",""
"IMG_3681.JPEG","ethan-hedges__colorado-rockies__bd-148__front.jpg","RENAMED",""
"IMG_3682.JPEG","ethan-hedges__colorado-rockies__bd-148__back.jpg","RENAMED",""
"IMG_3683.JPEG","mitch-voit__new-york-mets__bd-71__front.jpg","RENAMED",""
"IMG_3684.JPEG","mitch-voit__new-york-mets__bd-71__back.jpg","RENAMED",""
"IMG_3685.JPEG","tommy-troy__arizona-diamondbacks__bd-36__front.jpg","RENAMED",""
"IMG_3686.JPEG","tommy-troy__arizona-diamondbacks__bd-36__back.jpg","RENAMED",""
"IMG_3687.JPEG","tanner-franklin__st-louis-cardinals__bd-90__front.jpg","RENAMED",""
"IMG_3688.JPEG","tanner-franklin__st-louis-cardinals__bd-90__back.jpg","RENAMED",""
"IMG_3689.JPEG","nick-becker__seattle-mariners__bd-100__front.jpg","RENAMED",""
"IMG_3690.JPEG","nick-becker__seattle-mariners__bd-100__back.jpg","RENAMED",""
"IMG_3691.JPEG","hagen-smith__chicago-white-sox__bd-167__front.jpg","RENAMED",""
"IMG_3692.JPEG","hagen-smith__chicago-white-sox__bd-167__back.jpg","RENAMED",""
"IMG_3693.JPEG","blake-mitchell__kansas-city-royals__bd-160__front.jpg","RENAMED",""
"IMG_3694.JPEG","blake-mitchell__kansas-city-royals__bd-160__back.jpg","RENAMED",""
"IMG_3695.JPEG","gavin-turley__athletics__bd-28__front.jpg","RENAMED",""
"IMG_3696.JPEG","gavin-turley__athletics__bd-28__back.jpg","RENAMED",""
"IMG_3697.JPEG","jefferson-rojas__chicago-cubs__bd-75__front.jpg","RENAMED",""
"IMG_3698.JPEG","jefferson-rojas__chicago-cubs__bd-75__back.jpg","RENAMED",""
"IMG_3699.JPEG","matthew-fisher__philadelphia-phillies__bd-106__front.jpg","RENAMED",""
"IMG_3700.JPEG","matthew-fisher__philadelphia-phillies__bd-106__back.jpg","RENAMED",""
"IMG_3701.JPEG","josh-owens__texas-rangers__bd-119__front.jpg","RENAMED",""
"IMG_3702.JPEG","josh-owens__texas-rangers__bd-119__back.jpg","RENAMED",""
"IMG_3703.JPEG","xavier-neyens__houston-astros__bd-2__front.jpg","RENAMED",""
"IMG_3704.JPEG","xavier-neyens__houston-astros__bd-2__back.jpg","RENAMED",""
"IMG_3705.JPEG","zach-root__los-angeles-dodgers__bd-22__front.jpg","RENAMED",""
"IMG_3706.JPEG","zach-root__los-angeles-dodgers__bd-22__back.jpg","RENAMED",""
"IMG_3707.JPEG","sebastian-walcott__texas-rangers__bd-169__front.jpg","RENAMED",""
"IMG_3708.JPEG","sebastian-walcott__texas-rangers__bd-169__back.jpg","RENAMED",""
"IMG_3709.JPEG","jordan-yost__detroit-tigers__bd-162__back__dup-1.jpg","RENAMED",""
